변수,타입,디바이스,사용 유무,HMI,설명문
AL_036_02,BIT,M0298,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_037_02,BIT,M0299,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_038_02,BIT,M0300,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_039_02,BIT,M0301,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_040_02,BIT,M0302,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
AL_041_02,BIT,M0303,0,0,Alarm latch/helper BOOL generated from alarm_table/ST draft
TM_T001_DONE,BIT,M0609,0,0,Timer done helper BOOL generated from timer_counter_table/ST draft
TM_T002_DONE,BIT,M0610,0,0,Timer done helper BOOL generated from timer_counter_table/ST draft
TM_T003_DONE,BIT,M0611,0,0,Timer done helper BOOL generated from timer_counter_table/ST draft
TM_T004_DONE,BIT,M0612,0,0,Timer done helper BOOL generated from timer_counter_table/ST draft
TM_T005_DONE,BIT,M0613,0,0,Timer done helper BOOL generated from timer_counter_table/ST draft
TM_T006_DONE,BIT,M0614,0,0,Timer done helper BOOL generated from timer_counter_table/ST draft
TM_T007_DONE,BIT,M0615,0,0,Timer done helper BOOL generated from timer_counter_table/ST draft
TM_T008_DONE,BIT,M0616,0,0,Timer done helper BOOL generated from timer_counter_table/ST draft
TM_T_NO_FLOW_DONE,BIT,M0617,0,0,Timer done helper BOOL generated from timer_counter_table/ST draft
TM_T_POWER_RESUME_HOLD_DONE,BIT,M0618,0,0,Timer done helper BOOL generated from timer_counter_table/ST draft
TM_T_PUMP_START_FAIL_DONE,BIT,M0619,0,0,Timer done helper BOOL generated from timer_counter_table/ST draft
TM_T_VALVE_CLOSE_FAIL_DONE,BIT,M0620,0,0,Timer done helper BOOL generated from timer_counter_table/ST draft
TM_T_VALVE_OPEN_FAIL_DONE,BIT,M0621,0,0,Timer done helper BOOL generated from timer_counter_table/ST draft
